Pop,Pop Density,Ethnic Minorities,Income,Employment,IMD,Num of Cs,Num of  Is,Num of Ss
1636,103.661316,15.5,0.7,1,6.208,0,0,0
1558,94.473598,11.3,3.4,2.7,5.143,0,0,0
1786,422.952941,21.6,8.6,8.6,19.402,0,0,0
1888,88.755722,48.6,21.1,13.6,28.652,1,1,0
2094,160.385747,67.3,11.7,5.9,19.837,0,0,0
2502,130.766607,68.4,20.7,10.7,31.576,0,0,0
1597,89.331328,68.6,26.5,15.1,37.596,0,0,0
1929,138.650716,76.2,18.7,10.9,32.844,0,5,1
3579,107.776355,71.4,16.9,7.3,32.437,1,9,5
1726,181.246814,78.8,16.7,8.1,30.679,0,0,0
2343,178.740077,71.9,23.9,9.6,34.714,0,0,0
1855,84.355482,31.4,21.3,14.5,38.997,1,2,2
1661,49.975028,25,20.1,13.5,35.67,0,0,0
2452,88.6019,33.5,21.6,12.3,33.632,0,0,0
1724,90.831876,29.5,19.9,12.2,32.839,0,0,0
1538,83.549931,30.6,25,16.9,39.004,0,0,0
1718,108.728865,28.4,21.2,13.6,33.406,0,0,0
1563,90.341322,44.3,19.4,13.8,33.62,0,0,0
1930,111.384384,35,21.6,13.1,36.035,0,3,0
1756,86.769109,45.9,23,13.6,38.888,0,0,0
1433,121.1517,36.5,19.5,13.9,34.413,0,0,0
3853,176.41103,44.6,22.8,10.8,36.877,1,1,0
1546,114.403547,44.1,15.5,10,29.339,0,0,0
1676,108.853279,30.8,21.9,13.8,36.702,0,0,0
1846,12.706224,28.3,21.6,14.6,37.347,0,0,0
1729,108.560003,42.1,26,15.5,40.078,0,0,0
1764,60.684444,36.1,11.3,7.5,22.503,0,0,0
2396,126.610941,34.3,26.4,16.2,38.415,1,1,0
1810,21.363096,50.2,12.6,7.5,22.672,0,0,0
1879,50.001087,37.7,14.6,10.6,29.958,1,2,3
1598,95.497091,24,25.7,13.6,37.978,0,0,0
1640,30.565156,23.5,21.6,14.7,35.895,0,0,0
1841,42.578398,32.9,15,9.2,26.175,0,1,0
1458,38.290185,42.1,11.2,7.3,19.27,0,0,0
1912,91.43645,16.6,9.6,10.1,17.988,0,0,0
1425,75.186863,16.5,12.7,7.9,19.646,1,0,0
1710,10.462718,19.8,12.7,7.4,22.288,0,0,0
1793,95.318354,42.6,21.8,12.3,34.608,0,1,1
1818,121.080348,33.1,17.2,10.5,33.173,0,0,0
2001,84.637875,45.7,26.3,16.4,41.573,0,0,0
1518,69.028364,47.4,14.7,8.5,28.075,0,0,0
1992,96.830615,56.5,13.3,7.9,28.389,0,0,0
1802,55.054992,40.9,18.8,12.5,35.688,0,1,0
1900,159.244397,26.4,17,11.1,29.763,0,0,0
1044,268.271844,62.9,34.1,18.2,44.704,0,0,0
1921,95.576761,62.5,29,14.3,41.172,0,2,0
1966,114.999651,61.5,17.6,11.4,34.701,0,2,0
963,206.264177,64.4,23.4,13,36.941,0,0,0
2258,104.478713,53.5,18.8,11.1,33.284,0,0,0
1604,85.087264,39.5,22.9,12.6,40.044,0,3,0
1951,129.578759,28.8,18,9.6,29.788,0,0,0
1707,93.019074,30.3,21.1,11.4,30.898,0,0,0
1675,69.921342,32.4,19.7,14.4,35.903,0,0,0
1536,140.270181,35.1,19.6,11.8,32.887,1,0,0
1990,100.073184,40.1,19.9,11.7,31.763,0,0,0
1649,65.044955,26.5,17.6,12.9,32.331,0,0,0
1999,34.081674,34.1,20.2,12.9,36.154,1,0,1
1869,31.473612,35.5,30.3,18.6,46.283,0,0,0
2378,152.808113,35.6,14.3,8.8,26.669,0,0,0
1843,160.957184,26.3,18.1,12.4,33.371,0,0,0
2204,98.39819,32.6,20.8,13,35.283,0,0,0
1779,71.035949,28.7,22.8,17.3,39.89,0,0,0
2304,92.479955,52.3,14.7,9.7,25.763,0,0,0
2222,123.523465,53.6,13.2,6.6,20.973,0,0,0
1534,40.881328,65.4,12.3,7.5,25.603,0,0,0
1938,149.451471,54.1,8.7,7,16.375,0,0,0
2190,50.462546,58,11,7.7,21.038,1,3,1
2637,82.651005,61.5,13,5.8,18.848,0,1,0
2128,40.773146,33.6,24.1,13.8,41.016,1,2,1
1791,61.910125,29.2,20.9,13.5,38.757,0,0,0
1627,110.856451,28,23.4,12.8,35.044,0,0,0
